Account Name,Hero Ad,Version,Creator Name,Min Date,Max Date,Spend,Impressions,Installs,Post Engagement,Video Views,Purchases,CTR (%),CPC ($),CPI ($),Installs Per Mile,CPA ($),Purchase Per Mile,3sec Video View Rate (%),25% Video View Rate (%),50% Video View Rate (%),75% Video View Rate (%),100% Video View Rate (%),Install Rate (%),Subs Rate (%),revenue,ROAS
Enlight Photoleap,TattooWithoutTheCommitment,Hand,manuel,3/1/2023,6/24/2024,"$149,919.20","29,436,874","38,782","3,978,829","3,848,410","3,886",0.38%,$1.33,$3.9,131.75%,$38.58,13.20%,13.1%,8.2%,3.7%,2.0%,0.7%,34.5%,10.0%,$26.80,0.02%
Enlight Photoleap,TattooWithoutTheCommitment,Backofawoman,manuel,3/1/2023,6/24/2024,$11.55,"2,932",2,511,505,,0.20%,$1.93,$5.8,68.21%,,,17.2%,5.3%,3.1%,1.3%,0.5%,33.3%,,,
Enlight Photoleap,SketchtoAI,Doodle,manuel,3/1/2023,6/24/2024,"$10,385.56","1,788,379","1,828","410,884","404,475",245,0.30%,$1.97,$5.7,102.22%,$42.39,13.70%,22.6%,18.1%,10.1%,4.1%,1.6%,34.6%,13.4%,,
Enlight Photoleap,OnePiece,Manu,manuel,3/1/2023,6/24/2024,"$2,803.12","408,768",214,"99,890","97,996",32,0.42%,$1.63,$13.1,52.35%,$87.60,7.83%,24.0%,18.5%,6.6%,3.2%,1.7%,12.4%,15.0%,,
Enlight Photoleap,TattooWithoutTheCommitmentV1,Hand,manuel,3/1/2023,6/24/2024,"$1,285.90","383,164",495,"80,452","78,451",35,0.46%,$0.73,$2.6,129.19%,$36.74,9.13%,20.5%,13.9%,7.1%,3.7%,1.6%,28.0%,7.1%,,
Enlight Photoleap,thuglife,Woman,manuel,3/1/2023,6/24/2024,$555.49,"46,085",66,"6,410","6,130",17,0.58%,$2.10,$8.4,143.21%,$32.68,36.89%,13.3%,10.4%,4.9%,3.4%,2.7%,24.9%,25.8%,$6.43,1.16%
Enlight Photoleap,thuglife,OldFolks,manuel,3/1/2023,6/24/2024,$86.56,"2,445",6,867,834,,1.35%,$2.62,$14.4,245.40%,,,34.1%,26.1%,13.6%,10.6%,6.6%,18.2%,,,
Enlight Photoleap,AcuamanuLong,Manu,manuel,3/1/2023,6/24/2024,$472.29,"84,740",10,"12,280","11,941",2,0.36%,$1.53,$47.2,11.80%,$236.15,2.36%,14.1%,10.0%,3.4%,2.1%,1.5%,3.2%,20.0%,,
Enlight Photoleap,Animateme,minasaan,manuel,3/1/2023,6/24/2024,$470.72,"84,872",82,"15,928","15,498",7,0.45%,$1.24,$5.7,96.62%,$67.25,8.25%,18.3%,14.2%,7.0%,4.2%,2.5%,21.6%,8.5%,,
Enlight Photoleap,FaceSwitch,meme,manuel,3/1/2023,6/24/2024,$443.16,"70,720",15,"7,292","7,075",,0.29%,$2.16,$29.5,21.21%,,,10.0%,5.2%,2.3%,1.6%,0.5%,7.3%,,,
Enlight Photoleap,Acuamamanushort,Manu,manuel,3/1/2023,6/24/2024,$408.81,"124,996",23,"13,410","12,539",4,0.65%,$0.50,$17.8,18.40%,$102.20,3.20%,10.0%,10.5%,5.3%,2.5%,1.7%,2.8%,17.4%,,
Enlight Photoleap,DNDeasyToDo,Madaly,manuel,3/1/2023,6/24/2024,$97.32,"11,960",6,"3,391","3,340",2,0.34%,$2.37,$16.2,50.17%,$48.66,16.72%,27.9%,6.7%,4.0%,1.6%,0.7%,14.6%,33.3%,,
Enlight Photoleap,SketchtoAi,doodleshort,manuel,3/1/2023,6/24/2024,$68.44,"36,524",8,"5,238","5,185",2,0.11%,$1.63,$8.6,21.90%,$34.22,5.48%,14.2%,23.9%,12.4%,8.1%,5.1%,19.0%,25.0%,,
Enlight Photoleap,Uncrop,funny,manuel,3/1/2023,6/24/2024,$42.88,"24,985",11,"3,500","3,435",2,0.22%,$0.79,$3.9,44.03%,$21.44,8.00%,13.7%,10.1%,4.5%,2.8%,1.6%,20.4%,18.2%,,
Enlight Photoleap,FaceSwapSwitch,Fun,manuel,3/1/2023,6/24/2024,$32.02,"3,724",1,503,497,,0.13%,$6.40,$32.0,26.85%,,,13.3%,6.1%,2.1%,1.2%,0.7%,20.0%,,,
Enlight Photoleap,SitcomSanta,Red,manuel,3/1/2023,6/24/2024,$6.82,"5,693",3,"1,088","1,066",,0.21%,$0.57,$2.3,52.70%,,,18.7%,10.1%,4.6%,2.6%,0.8%,25.0%,,,
Enlight Photoleap,SitcomSanta,RedStandardEnding,manuel,3/1/2023,6/24/2024,$2.12,"2,151",1,234,229,,0.09%,$1.06,$2.1,46.49%,,,10.6%,5.4%,2.9%,1.8%,0.6%,50.0%,,,
Enlight Photoleap,SitcomSanta,Canela,manuel,3/1/2023,6/24/2024,$2.04,"1,682",,221,218,,0.18%,$0.68,,,,,13.0%,7.5%,2.9%,2.0%,0.8%,,,,
Enlight Photoleap,SitcomSanta,CanelaXmas,manuel,3/1/2023,6/24/2024,$1.32,"1,433",,231,227,,0.21%,$0.44,,,,,15.8%,8.2%,3.3%,1.8%,1.0%,,,,
Enlight Photoleap,Total,Total,Total,Total,Total,"$167,095.32","32,522,127","41,553","4,641,159","4,498,051","4,234",0.38%,$1.35,$4.0,127.77%,$39.47,13.02%,13.8%,8.9%,4.2%,2.1%,0.8%,33.7%,10.2%,$33.23,0.02%
Enlight Videoleap Android,AIVoiceSawpZoey,ZoeyIDisclamer,manuel,3/1/2023,6/24/2024,"$2,042.77","208,201","1,046","78,247","75,768",46,0.99%,$0.99,$2.0,502.40%,$44.41,22.09%,36.4%,25.1%,10.3%,6.7%,3.5%,50.7%,4.4%,$296.75,14.53%
Enlight Videoleap Android,AIVoiceSawpZoey,ZoeyI,manuel,3/1/2023,6/24/2024,$47.21,"8,187",36,"3,563","3,480",,0.76%,$0.76,$1.3,439.72%,,,42.5%,29.9%,7.2%,3.8%,1.3%,58.1%,,,
Enlight Videoleap Android,AIVoiceSawpZoey,ZoeyII,manuel,3/1/2023,6/24/2024,$44.22,"12,667",34,"4,156","4,073",1,0.49%,$0.71,$1.3,268.41%,$44.22,7.89%,32.2%,20.8%,6.5%,4.0%,2.4%,54.8%,2.9%,,
Enlight Videoleap Android,PanoramaSMB,chef,manuel,3/1/2023,6/24/2024,$35.46,"14,309",10,"3,964","3,909",,0.24%,$1.04,$3.5,69.89%,,,27.3%,17.8%,10.4%,8.8%,5.4%,29.4%,,,
Enlight Videoleap Android,PanoramaSMB,Tattoo,manuel,3/1/2023,6/24/2024,$32.65,"13,081",9,"4,407","4,348",2,0.33%,$0.76,$3.6,68.80%,$16.33,15.29%,33.2%,17.9%,11.5%,7.5%,6.2%,20.9%,22.2%,$30.59,93.69%
Enlight Videoleap Android,GamingShowOffTutorial,LoadAvatar,manuel,3/1/2023,6/24/2024,$32.94,"12,553",27,"3,708","3,617",,0.59%,$0.45,$1.2,215.09%,,,28.8%,23.1%,12.1%,8.8%,6.4%,36.5%,,,
Enlight Videoleap Android,AIFX20,Manu,manuel,3/1/2023,6/24/2024,$4.76,"6,429",3,"1,093","1,081",,0.14%,$0.53,$1.6,46.66%,,,16.8%,10.4%,4.1%,1.6%,1.0%,33.3%,,,
Enlight Videoleap Android,Total,Total,Total,Total,Total,"$2,240.01","275,427","1,165","99,138","96,276",49,0.85%,$0.95,$1.9,422.98%,$45.71,17.79%,35.0%,23.9%,10.1%,6.6%,3.7%,49.6%,4.2%,$327.34,14.61%
Facetune iOS - UTC,VanishHairStyles,Model,manuel,3/1/2023,6/24/2024,$350.01,"64,676",77,"6,797","6,523",12,0.40%,$1.34,$4.5,119.05%,$29.17,18.55%,10.1%,7.8%,3.1%,1.7%,1.0%,29.5%,15.6%,$7.00,2.00%
Facetune iOS - UTC,VanishHairStyles,FullBG,manuel,3/1/2023,6/24/2024,$121.98,"9,505",14,"1,964","1,877",1,0.90%,$1.42,$8.7,147.29%,$121.98,10.52%,19.7%,15.5%,7.0%,3.8%,1.8%,16.3%,7.1%,$8.67,7.11%
Facetune iOS - UTC,SanValentinLong,couple,manuel,3/1/2023,6/24/2024,$210.77,"37,064",3,"3,581","3,311",1,0.73%,$0.78,$70.3,8.09%,$210.77,2.70%,8.9%,3.5%,2.5%,3.0%,1.2%,1.1%,33.3%,,
Facetune iOS - UTC,SanValentinLong,coupleShort,manuel,3/1/2023,6/24/2024,$33.98,"5,435",6,325,304,1,0.39%,$1.62,$5.7,110.40%,$33.98,18.40%,5.6%,3.3%,1.7%,1.3%,0.6%,28.6%,16.7%,,
Facetune iOS - UTC,AISelfiesV2,NDMadalynMDD,manuel,3/1/2023,6/24/2024,$27.74,"26,658",11,"2,309","2,176",,0.35%,$0.30,$2.5,41.26%,,,8.2%,6.8%,3.3%,2.3%,1.7%,12.0%,,,
Facetune iOS - UTC,AISelfiesV2,NDMadalynMDD600x500,manuel,3/1/2023,6/24/2024,$16.34,"2,291",1,449,438,,0.35%,$2.04,$16.3,43.65%,,,19.1%,15.8%,9.6%,6.5%,4.5%,12.5%,,,
Facetune iOS - UTC,AISelfieV3,Madalyn,manuel,3/1/2023,6/24/2024,$5.26,690,,77,73,,0.58%,$1.32,,,,,10.6%,8.7%,4.9%,3.8%,2.5%,,,,
Facetune iOS - UTC,Total,Total,Total,Total,Total,$766.08,"146,319",112,"15,502","14,702",15,0.51%,$1.03,$6.8,76.55%,$51.07,10.25%,10.0%,7.0%,3.3%,2.4%,1.3%,15.1%,13.4%,$15.67,2.05%
Facetune2 - Web,AISelfiesV2,NDMadalynMDD600x500,manuel,3/1/2023,6/24/2024,$5.57,401,,59,59,1,0.00%,,,,$5.57,249.38%,14.7%,11.0%,6.7%,4.2%,2.2%,,,,
Facetune2 - Web,Podcast,redhead,manuel,3/1/2023,6/24/2024,$2.48,187,,58,58,,0.00%,,,,,,31.0%,10.7%,4.3%,3.2%,,,,,
Facetune2 - Web,Total,Total,Total,Total,Total,$8.05,588,,117,117,1,0.00%,,,,$8.05,170.07%,19.9%,10.9%,6.0%,3.9%,1.5%,,,,
Facetune2 Android,AISelfiesV2,NDMadalynMDD6,manuel,3/1/2023,6/24/2024,"$10,256.61","6,348,330","54,357","1,439,490","1,333,524",463,1.38%,$0.12,$0.2,856.24%,$22.15,7.29%,21.0%,17.4%,12.5%,9.1%,5.4%,61.9%,0.9%,$35.97,0.35%
Facetune2 Android,AISelfiesV2,Madalyn,manuel,3/1/2023,6/24/2024,$11.78,894,1,190,186,1,0.45%,$2.95,$11.8,111.86%,$11.78,111.86%,20.8%,15.2%,8.7%,6.8%,4.8%,25.0%,100.0%,,
Facetune2 Android,VanishHairStyles,Model,manuel,3/1/2023,6/24/2024,"$1,049.86","56,070",192,"16,083","15,661",34,0.70%,$2.67,$5.5,342.43%,$30.88,60.64%,27.9%,24.8%,15.3%,11.6%,9.1%,48.9%,17.7%,$11.68,1.11%
Facetune2 Android,Total,Total,Total,Total,Total,"$11,318.25","6,405,294","54,550","1,455,763","1,349,371",498,1.38%,$0.13,$0.2,851.64%,$22.73,7.77%,21.1%,17.4%,12.6%,9.1%,5.4%,61.8%,0.9%,$47.65,0.42%
Facetune2 iOS,AISelfiesV2,NDMadalynMDD6,manuel,3/1/2023,6/24/2024,"$12,221.75","5,884,181","4,369","827,340","802,314",396,0.30%,$0.68,$2.8,74.25%,$30.86,6.73%,13.6%,9.5%,5.3%,3.2%,1.4%,24.4%,9.1%,,
Facetune2 iOS,Podcast,redhead,manuel,3/1/2023,6/24/2024,$136.05,"20,550",12,"4,457","4,368",3,0.36%,$1.81,$11.3,58.39%,$45.35,14.60%,21.3%,6.9%,3.7%,1.6%,0.7%,16.0%,25.0%,,
Facetune2 iOS,AISelfieV3,Madalyn,manuel,3/1/2023,6/24/2024,$7.77,853,,147,142,,0.35%,$2.59,,,,,16.6%,13.6%,7.2%,4.7%,3.0%,,,,
Facetune2 iOS,Total,Total,Total,Total,Total,"$12,365.57","5,905,584","4,381","831,944","806,824",399,0.30%,$0.69,$2.8,74.18%,$30.99,6.76%,13.7%,9.5%,5.3%,3.2%,1.4%,24.4%,9.1%,,
Photoleap - Web,TattooWithoutTheCommitment,Backofawoman,manuel,3/1/2023,6/24/2024,"$3,654.59","107,554",,"36,828","35,347",70,1.19%,$2.86,,,$52.21,65.08%,32.9%,13.1%,9.4%,5.3%,1.8%,,,,
Photoleap - Web,TattooWithoutTheCommitment,Hand,manuel,3/1/2023,6/24/2024,$136.88,"7,506",,"1,410","1,353",2,0.73%,$2.49,,,$68.44,26.65%,18.0%,11.6%,5.7%,3.5%,1.1%,,,,
Photoleap - Web,OnePiece,Manu,manuel,3/1/2023,6/24/2024,$445.28,"63,366",,"14,676","14,021",6,0.99%,$0.71,,,$74.21,9.47%,22.1%,17.0%,6.1%,2.4%,1.2%,,,,
Photoleap - Web,thuglife,Woman,manuel,3/1/2023,6/24/2024,$109.79,"16,313",4,"3,107","3,002",4,0.51%,$1.31,$27.4,24.52%,$27.45,24.52%,18.4%,13.1%,4.1%,2.1%,0.8%,4.8%,100.0%,,
Photoleap - Web,Uncrop,funny,manuel,3/1/2023,6/24/2024,$24.21,"2,957",2,379,370,2,0.27%,$3.03,$12.1,67.64%,$12.11,67.64%,12.5%,9.4%,4.1%,3.0%,1.1%,25.0%,100.0%,$28.00,115.65%
Photoleap - Web,SitcomSanta,RedStandardEnding,manuel,3/1/2023,6/24/2024,$11.27,"1,840",,349,344,,0.27%,$2.25,,,,,18.7%,9.6%,7.6%,5.4%,0.6%,,,,
Photoleap - Web,Total,Total,Total,Total,Total,"$4,382.02","199,536",6,"56,749","54,437",84,1.03%,$2.13,$730.3,3.01%,$52.17,42.10%,27.3%,14.2%,7.7%,4.1%,1.4%,0.3%,1400.0%,$28.00,0.64%
Photoleap Android,TattooWithoutTheCommitment,Hand,manuel,3/1/2023,6/24/2024,"$13,128.47","2,544,262","12,375","517,430","492,878",884,0.84%,$0.62,$1.1,486.39%,$14.85,34.74%,19.4%,14.7%,7.9%,3.3%,1.3%,58.1%,7.1%,$183.87,1.40%
Photoleap Android,TattooWithoutTheCommitment,Backofawoman,manuel,3/1/2023,6/24/2024,$28.03,"32,313",35,"7,584","6,936",,1.98%,$0.04,$0.8,108.32%,,,21.5%,12.0%,10.0%,7.0%,5.1%,5.5%,,,
Photoleap Android,Animateme,minasaan,manuel,3/1/2023,6/24/2024,"$8,993.40","1,354,726","4,590","457,444","447,847",431,0.65%,$1.03,$2.0,338.81%,$20.87,31.81%,33.1%,29.1%,18.4%,13.1%,9.2%,52.4%,9.4%,$107.68,1.20%
Photoleap Android,OnePiece,Manu,manuel,3/1/2023,6/24/2024,"$2,200.12","251,481",713,"74,241","72,603",68,0.60%,$1.46,$3.1,283.52%,$32.35,27.04%,28.9%,23.6%,10.3%,4.9%,3.4%,47.2%,9.5%,$9.70,0.44%
Photoleap Android,FaceSwitch,meme,manuel,3/1/2023,6/24/2024,$999.81,"33,776",196,"21,049","20,603",50,1.31%,$2.26,$5.1,580.29%,$20.00,148.03%,61.0%,39.3%,36.2%,29.3%,27.0%,44.3%,25.5%,$5.40,0.54%
Photoleap Android,text2img,ManuCost,manuel,3/1/2023,6/24/2024,$565.16,"11,885",84,"7,412","7,163",20,2.07%,$2.30,$6.7,706.77%,$28.26,168.28%,60.3%,37.7%,35.0%,29.8%,25.1%,34.1%,23.8%,,
Photoleap Android,text2img,Manuspeed,manuel,3/1/2023,6/24/2024,$104.79,"2,420",21,"1,419","1,374",3,1.86%,$2.33,$5.0,867.77%,$34.93,123.97%,56.8%,37.1%,34.0%,27.2%,23.0%,46.7%,14.3%,$5.09,4.86%
Photoleap Android,Uncrop,funny,manuel,3/1/2023,6/24/2024,$461.25,"89,105",241,"24,485","23,972",39,0.52%,$0.99,$1.9,270.47%,$11.83,43.77%,26.9%,23.4%,16.1%,13.0%,9.9%,51.7%,16.2%,$5.09,1.10%
Photoleap Android,thuglife,OldFolks,manuel,3/1/2023,6/24/2024,$83.26,"3,726",10,"1,822","1,791",1,0.81%,$2.78,$8.3,268.38%,$83.26,26.84%,48.1%,29.0%,19.1%,14.0%,8.8%,33.3%,10.0%,,
Photoleap Android,thuglife,Woman,manuel,3/1/2023,6/24/2024,$37.00,"1,531",5,454,445,,0.59%,$4.11,$7.4,326.58%,,,29.1%,24.5%,11.9%,7.7%,5.1%,55.6%,,,
Photoleap Android,SketchtoAI,Doodle,manuel,3/1/2023,6/24/2024,$88.19,"11,224",34,"3,595","3,498",7,0.67%,$1.18,$2.6,302.92%,$12.60,62.37%,31.2%,26.0%,14.9%,8.7%,5.1%,45.3%,20.6%,,
Photoleap Android,DNDeasyToDo,Madaly,manuel,3/1/2023,6/24/2024,$36.52,"9,170",35,"1,863","1,797",,0.56%,$0.72,$1.0,381.68%,,,19.6%,8.2%,6.0%,2.9%,1.7%,68.6%,,,
Photoleap Android,SitcomSanta,CanelaXmas,manuel,3/1/2023,6/24/2024,$20.69,779,,224,219,,0.26%,$10.35,,,,,28.1%,21.2%,13.9%,10.9%,8.3%,,,,
Photoleap Android,SitcomSanta,Red,manuel,3/1/2023,6/24/2024,$9.72,438,,173,172,,0.23%,$9.72,,,,,39.3%,30.8%,24.4%,18.9%,12.6%,,,,
Photoleap Android,AcuamanuLong,Manu,manuel,3/1/2023,6/24/2024,$26.67,"2,382",12,834,811,1,0.80%,$1.40,$2.2,503.78%,$26.67,41.98%,34.0%,27.7%,12.9%,9.1%,7.6%,63.2%,8.3%,,
Photoleap Android,Acuamamanushort,Manu,manuel,3/1/2023,6/24/2024,$12.72,"1,648",8,333,325,1,0.36%,$2.12,$1.6,485.44%,$12.72,60.68%,19.7%,20.3%,11.3%,6.1%,4.4%,133.3%,12.5%,,
Photoleap Android,SketchtoAi,doodleshort,manuel,3/1/2023,6/24/2024,$6.75,"1,446",4,497,492,,0.28%,$1.69,$1.7,276.63%,,,34.0%,48.1%,32.0%,24.3%,11.2%,100.0%,,,
Photoleap Android,Total,Total,Total,Total,Total,"$26,802.55","4,352,312","18,363","1,120,859","1,082,926","1,505",0.77%,$0.80,$1.5,421.91%,$17.81,34.58%,24.9%,20.2%,11.8%,7.0%,4.4%,54.7%,8.2%,$316.83,1.18%
Videoleap IOS - UTC,AIVoiceSawpZoey,ZoeyIDisclamer,manuel,3/1/2023,6/24/2024,"$18,134.26","3,022,204","3,068","984,761","959,502",385,0.65%,$0.92,$5.9,101.52%,$47.10,12.74%,31.7%,20.1%,5.6%,3.2%,1.2%,15.5%,12.5%,$162.58,0.90%
Videoleap IOS - UTC,AIVoiceSawpZoey,ZoeyIIDisclamer,manuel,3/1/2023,6/24/2024,"$1,522.77","195,835",258,"76,125","74,610",50,0.52%,$1.50,$5.9,131.74%,$30.46,25.53%,38.1%,23.3%,5.1%,2.8%,1.1%,25.3%,19.4%,$19.57,1.29%
Videoleap IOS - UTC,AIVoiceSawpZoey,ZoeyII,manuel,3/1/2023,6/24/2024,$572.44,"75,381",43,"25,635","24,883",6,0.85%,$0.89,$13.3,57.04%,$95.41,7.96%,33.0%,21.5%,5.2%,2.9%,1.2%,6.7%,14.0%,,
Videoleap IOS - UTC,DenoiseFeatures,Josh,manuel,3/1/2023,6/24/2024,$660.06,"286,639",34,"19,083","18,572",2,0.14%,$1.64,$19.4,11.86%,$330.03,0.70%,6.5%,3.2%,1.8%,1.6%,0.9%,8.5%,5.9%,,
Videoleap IOS - UTC,GamingShowOffTutorial,LoadAvatar,manuel,3/1/2023,6/24/2024,$565.26,"356,813",59,"35,535","34,742",3,0.19%,$0.85,$9.6,16.54%,$188.42,0.84%,9.7%,6.9%,3.1%,2.1%,1.5%,8.9%,5.1%,,
Videoleap IOS - UTC,AIVoiceSwapXmas,Mike,manuel,3/1/2023,6/24/2024,$213.00,"11,996",15,"4,015","3,928",3,0.55%,$3.23,$14.2,125.04%,$71.00,25.01%,32.7%,17.6%,8.4%,5.9%,3.5%,22.7%,20.0%,,
Videoleap IOS - UTC,AIVoiceSwapXmas,Madalyn,manuel,3/1/2023,6/24/2024,$49.59,"3,333",2,930,902,,0.69%,$2.16,$24.8,60.01%,,,27.1%,18.1%,6.1%,4.1%,1.7%,8.7%,,,
Videoleap IOS - UTC,Recolor10Sec,Video,manuel,3/1/2023,6/24/2024,$158.71,"103,490",33,"17,294","16,563",,0.66%,$0.23,$4.8,31.89%,,,16.0%,12.9%,6.2%,2.7%,1.3%,4.8%,,,
Videoleap IOS - UTC,Segmentation,Jump,manuel,3/1/2023,6/24/2024,$84.10,"16,154",3,"3,044","2,972",,0.29%,$1.79,$28.0,18.57%,,,18.4%,8.3%,4.0%,2.6%,1.4%,6.4%,,,
Videoleap IOS - UTC,RemoveforSMB,product,manuel,3/1/2023,6/24/2024,$47.03,"3,354",,568,550,,0.51%,$2.77,,,,,16.4%,10.6%,4.6%,3.2%,2.1%,,,,
Videoleap IOS - UTC,AicolorGradee,Color,manuel,3/1/2023,6/24/2024,$13.57,"5,154",,921,890,,0.39%,$0.68,,,,,17.3%,9.0%,4.9%,3.5%,2.3%,,,,
Videoleap IOS - UTC,AIFX20,Manu,manuel,3/1/2023,6/24/2024,$12.20,"4,283",1,"1,426","1,418",,0.12%,$2.44,$12.2,23.35%,,,33.1%,25.6%,10.6%,5.1%,3.3%,20.0%,,,
Videoleap IOS - UTC,AIBFGym,Sammy,manuel,3/1/2023,6/24/2024,$10.37,"1,325",,370,364,,0.15%,$5.19,,,,,27.5%,12.3%,4.3%,2.3%,1.4%,,,,
Videoleap IOS - UTC,PanoramaSMB,Tattoo,manuel,3/1/2023,6/24/2024,$3.57,"1,618",,357,350,,0.25%,$0.89,,,,,21.6%,9.5%,3.5%,2.2%,1.3%,,,,
Videoleap IOS - UTC,PanoramaSMB,chef,manuel,3/1/2023,6/24/2024,$1.23,647,,125,123,,0.00%,,,,,,19.0%,7.1%,1.7%,1.2%,0.8%,,,,
Videoleap IOS - UTC,Total,Total,Total,Total,Total,"$22,048.16","4,088,226","3,516","1,170,189","1,140,369",449,0.57%,$0.95,$6.3,86.00%,$49.11,10.98%,27.9%,17.7%,5.1%,3.0%,1.2%,15.1%,12.8%,$182.15,0.83%
